Company,TypeName,Inches,ScreenResolution,Cpu,Gpu,OpSys,TouchScreen,Ips,X_res,Y_res,ppi,Dedicated_Gpu,Ram_GB,Weight_kg,SSD,HHD,Storage_Type,Total_Storage_GB,Storage_Category,Price
HP,HP 17,17.3,Full HD (1080p),AMD Ryzen 5 7430U,"AMD Radeon RX Vega 7 (R4000/5000, 15W)",Windows,1,1,1920,1080,127.34,1,16,2.07,1000,0,SSD Only,1000,Standard (512GB-1TB),799.99
Acer,Acer Aspire Go 15,15.3,1920 x 1200,Intel Core i5-1334U,Intel Iris Xe Graphics G7 (80EU),Windows,1,1,1920,1200,147.98,0,48,1.7,4000,0,SSD Only,4000,Very High (> 2TB),2687.8
Lenovo,Lenovo ThinkPad P16 Gen 3,16,1920 x 1200,Intel Core Ultra 7 255HX,NVIDIA RTX PRO 3000 Blackwell,Windows,1,1,1920,1200,141.51,1,64,2.54,1000,0,SSD Only,1000,Standard (512GB-1TB),2628.8
Dell,Dell Pro Max 14 Premium,14,1920 x 1200,Intel Core Ultra 7 265H,NVIDIA RTX PRO 2000 Blackwell,Windows,1,1,1920,1200,161.73,1,32,1.61,1000,0,SSD Only,1000,Standard (512GB-1TB),2028.8
Dell,Dell Pro 14 Premium,14,1920 x 1200,Intel Core Ultra 5 236V,Intel Arc Graphics 130V,Windows,1,1,1920,1200,161.73,1,16,1.14,512,0,SSD Only,512,Standard (512GB-1TB),1611.2
Dell,Dell Inspiron 15 3535,15.6,Full HD (1080p),AMD Ryzen 7 7730U,"AMD Radeon RX Vega 8 (R4000/5000, 15W)",Windows,1,1,1920,1080,141.21,1,24,1.66,2000,0,SSD Only,2000,High (1-2TB),889
Dell,Dell Pro 14 Plus,14,1920 x 1200,AMD Ryzen 5 220,AMD Radeon 760M,Windows,1,1,1920,1200,161.73,1,16,1.43,256,0,SSD Only,256,Basic (256-512GB),1560
MSI,MSI Cyborg 17,17.3,Full HD (1080p),Intel Core 7 240H,NVIDIA GeForce RTX 5050 (Laptop),Windows,1,1,1920,1080,127.34,1,16,2.5,512,0,SSD Only,512,Standard (512GB-1TB),1610.2
MSI,MSI Crosshair A16 HX,16,2560 x 1600,AMD Ryzen 9 8940HX,NVIDIA GeForce RTX 5060 (Laptop),Windows,1,1,2560,1600,188.68,1,32,2.5,1000,0,SSD Only,1000,Standard (512GB-1TB),2088.8
LG,LG gram Pro 16 2-in-1,16,2880 x 1800,Intel Core Ultra 7 155H,Intel Arc (8-Cores),Windows,1,0,2880,1800,212.26,1,16,1.39,1000,0,SSD Only,1000,Standard (512GB-1TB),1768.8
